epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8692,1.83321,3.83894,1.87062,0.0032,1,0.08529,0.02162,2.24329,4.91861,2.79771,0,0,0
2,45.662,1.89817,4.08877,2.17479,0.0032,1,0.11082,0.02163,2.25135,4.82873,2.82764,1.61199e-05,1.61199e-05,1.61199e-05
3,66.9623,1.88506,3.67499,2.20368,0.00266,0.75,0.13202,0.03061,2.18446,4.75586,2.76247,3.11396e-05,3.11396e-05,3.11396e-05
4,80.0274,1.94073,3.8304,2.11237,0.00265,0.75,0.18955,0.06767,2.10937,4.77127,2.70478,4.5059e-05,4.5059e-05,4.5059e-05
5,92.308,1.89522,3.71879,1.85267,0.00266,0.75,0.19237,0.08572,2.01033,4.77837,2.5618,5.78782e-05,5.78782e-05,5.78782e-05
6,102.51,1.74599,3.74862,1.89455,0.00268,0.75,0.31796,0.12332,1.91861,4.75358,2.51109,6.95973e-05,6.95973e-05,6.95973e-05
7,111.006,1.58256,3.74773,1.7716,0.00324,1,0.32053,0.12616,1.84668,4.64513,2.4163,8.0216e-05,8.0216e-05,8.0216e-05
8,122.419,1.58684,3.65782,1.76195,0.00326,1,0.37421,0.17323,1.66978,4.67875,2.25245,8.97346e-05,8.97346e-05,8.97346e-05
9,134.046,1.09611,3.21629,1.24596,0.00329,1,0.48141,0.19383,1.54172,4.60855,2.12925,9.8153e-05,9.8153e-05,9.8153e-05
10,144.668,1.26492,3.06782,1.46861,0.0033,1,0.69502,0.31445,1.48015,4.52216,1.94086,0.000105471,0.000105471,0.000105471
11,157.572,1.21735,3.13324,1.47138,0.00333,1,0.78438,0.4008,1.43451,4.538,1.80339,0.000111689,0.000111689,0.000111689
12,168.945,0.92541,2.85484,1.15795,0.00334,1,0.78185,0.41164,1.40576,4.38735,1.67587,0.000116807,0.000116807,0.000116807
13,180.821,1.42771,2.6785,1.34901,0.00335,1,0.78186,0.42019,1.33077,4.30209,1.58722,0.000120824,0.000120824,0.000120824
14,192.457,1.1459,2.57072,1.34687,0.00336,1,0.7205,0.40223,1.40992,4.19354,1.54283,0.000123741,0.000123741,0.000123741
15,207.372,1.16309,2.23396,1.28405,0.00336,1,0.65866,0.38766,1.41351,4.14636,1.53311,0.000125558,0.000125558,0.000125558
16,216.783,1.26473,2.20595,1.35255,0.00333,1,0.65244,0.40084,1.44468,4.04178,1.57646,0.000126275,0.000126275,0.000126275
17,229.654,1.05147,2.16599,1.25671,0.00332,1,0.62735,0.42187,1.52112,3.90091,1.63473,0.000125892,0.000125892,0.000125892
18,241.136,1.03026,2.4823,1.27402,0.00332,1,0.62735,0.42187,1.52112,3.90091,1.63473,0.000124408,0.000124408,0.000124408
19,253.856,1.19634,2.04999,1.37353,0.00282,0.9,0.64687,0.4325,1.43306,3.92848,1.55777,0.000121824,0.000121824,0.000121824
20,265.107,1.20252,1.96924,1.29728,0.00282,0.9,0.64687,0.4325,1.43306,3.92848,1.55777,0.00011814,0.00011814,0.00011814
21,276.145,1.07229,2.50493,1.61547,0.00281,0.9,0.67663,0.44839,1.51786,3.91618,1.63301,0.000113356,0.000113356,0.000113356
22,285.43,0.9942,2.22528,1.33253,0.00281,0.9,0.67663,0.44839,1.51786,3.91618,1.63301,0.000107471,0.000107471,0.000107471
23,295.464,1.31484,2.63467,1.41719,0.00326,1,0.67749,0.45536,1.36902,3.962,1.516,0.000100487,0.000100487,0.000100487
24,308.034,0.8963,2.0544,1.22418,0.00326,1,0.67749,0.45536,1.36902,3.962,1.516,9.24018e-05,9.24018e-05,9.24018e-05
25,321.068,0.90624,2.0228,1.1731,0.00326,1,0.67759,0.44741,1.27645,3.97181,1.43953,8.32166e-05,8.32166e-05,8.32166e-05
26,331.925,0.97465,2.0157,1.24231,0.00326,1,0.67759,0.44741,1.27645,3.97181,1.43953,7.29312e-05,7.29312e-05,7.29312e-05
27,342.139,0.75568,1.95335,1.01058,0.00325,1,0.67761,0.43944,1.24909,4.01962,1.40384,6.15456e-05,6.15456e-05,6.15456e-05
28,352.342,0.85624,2.01862,1.15178,0.00325,1,0.67761,0.43944,1.24909,4.01962,1.40384,4.90598e-05,4.90598e-05,4.90598e-05
29,362.261,0.90482,2.05917,1.02653,0.00325,1,0.68289,0.43539,1.29083,3.97811,1.39202,3.54738e-05,3.54738e-05,3.54738e-05
30,377.33,0.86598,2.09141,0.95567,0.00325,1,0.68289,0.43539,1.29083,3.97811,1.39202,2.07875e-05,2.07875e-05,2.07875e-05
